Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score
Random,629705," ...uh-uh-uh - I'm not gonna ask you where you are, just please, put Amy on a plane. Just put her on right away, any plane to get her here right away...
",2,0,7,0,7,A2UFD1I8ZO1V4G,A2YFPO0N4GIS25,AYG3MF094634L,A38WUWONC7EXTO,A15DM9BMKZZJQ6,0.7
Random,244336," See that it is.  Take me over, please.",2,0,7,0,7,A2QN0EGBRGJU1M,A2GSW5RBAT5LQ5,AO5E3LWBYM72K,A2ULMYRKQMNNFG,A3TFQK7QK8X6LM,0.7
Random,627353,You're a cop - you'll never believe me.,2,0,5,0,3,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2MWGIVIKOXWYM,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,0.4
Random,448565," You know what they say. They say things are no good in this house. Catherine, your son is married. Leave him in peace. He wantsa be alone with his wife. They don't want no old lady sitting inna balcony. Now I tell you what I think. I want you come live with me in my house with Marty and me. In my house, you have your own room. You don't have to sleep onna couch inna living room like here. We will cook inna kitchen and talk like when we were girls. You are dear to me, and you are dear to Marty. We are pleased for you to come.",2,0,3,0,7,A233ONYNWKDIYF,A1TLLJDX8H4JP1,AC25X12LNYY6Y,A1F4D2PZ7NNWTL,AEYHIQUDWJ3KV,0.5
Random,625810," Two hundred dollars, please.
",2,0,7,0,10,A21753FQKCM5DQ,AYG3MF094634L,A3EJ5TT2ZGBIDA,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,0.85
Random,214411," My parents are from Poland.  I can help with the Eastern European angle.
",2,0,5,0,5,AYG3MF094634L,A1F4D2PZ7NNWTL,A3G7QIYLFOXFG7,AZOAW8JH5HJJK,A1Y3Z92RE62NPS,0.5
Random,73465," Miss Price! Miss Price, please!
",2,0,7,0,10,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,AIPK94CUWL45W,0.85
Random,460261," Just relax, please relax!
",2,0,7,0,10,AYG3MF094634L,AO5E3LWBYM72K,ARYGQ46IMW8AU,A3CFNUD7VR2E1E,A34ZSF2JSRXIRP,0.85
Random,177439," Hey. I went as far as I felt comfortable. I mean, you know, let's face it -- you come and go here as you please. You work when you feel like it -- you know, Bruce Springsteen's birthday is not a legal holiday.
",2,0,5,0,5,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A28ZB4ZB13BWAI,A2AMGE57IJVSHF,A29B522D0BX6HN,0.5
Random,341534," I am not sure... It could be twice the distance.
",2,0,5,0,5,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,0.5
Random,567951," I don't want to know how to say that though.  I want to know useful things. Like where the good stores are.  How much does champagne cost?  Stuff like Chat.  I have never in my life had to point out my head to someone.
",2,0,5,0,7,A233ONYNWKDIYF,A2WKPCZU4U110T,A6YO9886DY2SC,AO5E3LWBYM72K,A1DTQSIIYIZL62,0.6
Random,590458," Then I'm afraid we'll have to impound your money until we're sure that it's all good.  Can I see your wallet and your ticket, please?
",2,0,7,0,7,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A1BJTTNDDFZ3ZP,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,0.7
Random,623634," Kissing?  Is that what you think happens?  Kissing isn't what keeps me up to my elbows in placenta all day.
",2,0,3,0,3,AHH34KPTA2LSS,A26NYABOD7YBW8,A872FSFU7WV6W,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,0.3
Random,193592," Dr. Levine, please!  Return to your seat!
",2,0,7,0,7,A1R4VG71V6XECZ,A2WKPCZU4U110T,A1BJTTNDDFZ3ZP,A3E157ZN8XPUKJ,A1RT9SQ9D9DLOV,0.7
Random,628156," P-p-p-please du-du-du-don't t-t tell her, p-p-please...
",2,0,7,0,10,A1RPVYUPJZGM9Z,A199E33VY97TR,AYG3MF094634L,AO5E3LWBYM72K,A3MN5VOZFQPNZF,0.85
Random,543807," I teach her French, get to know her, dazzle her with charm and she falls in love with me.
",2,0,5,0,5,A16PRU8T6NZLN5,A1BJTTNDDFZ3ZP,AVHARSCRX7M9E,AQWC8BPA9JB7T,A1KC138MX47DXA,0.5
Random,626004," Ray...please try. I really miss you.  Okay. Bye.
",2,0,7,0,10,A21753FQKCM5DQ,A1QV3X9YMQQ3OQ,A2GSW5RBAT5LQ5,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,0.85
Random,360711," So what did I have an effect on ?
",2,0,5,0,3,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A00613921OIEGJA322163,ANVEDG15GV3QE,0.4
Random,624652," That's a tragedy. Can I finish my story please? I began my search for meaning. I was a Catholic, Jew, Scientologist, Sufi, Buddhist. I went to a Psychologist, psychiatrist, herbalist, nutritionist, a shaman, and a psychic. And they all pretty much say the same stuff.
",2,0,7,0,7,A233ONYNWKDIYF,A22SZHZTF72TRM,A3BA2LVL6Y7YO7,AVHARSCRX7M9E,AMJAP6BGF5LVM,0.7
Random,321142," Like I'm supposed to know what that even means.
",2,0,5,0,3,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,AIPK94CUWL45W,0.4
Random,612461," Were you pleased with his work?
",2,0,5,0,5,A233ONYNWKDIYF,A38WUWONC7EXTO,A1CIIX0CB0GR7H,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,0.5
